fold,split,slide_id,feature_dir,h5_path,dataset_key,n_patches,feature_dim,has_coords
1,train,TCGA-V3-A9ZX-01,features_hoptimus1,L:\20x_256px_0px_overlap\features_hoptimus1\TCGA-V3-A9ZX-01.h5,features,20767,1536,True
1,train,TCGA-V3-A9ZX-01,features_virchow,L:\20x_256px_0px_overlap\features_virchow\TCGA-V3-A9ZX-01.h5,features,20767,2560,True
1,train,TCGA-V3-A9ZX-01,features_hoptimus0,L:\20x_256px_0px_overlap\features_hoptimus0\TCGA-V3-A9ZX-01.h5,features,20767,1536,True
1,train,TCGA-V3-A9ZY-01,features_hoptimus1,L:\20x_256px_0px_overlap\features_hoptimus1\TCGA-V3-A9ZY-01.h5,features,13706,1536,True
1,train,TCGA-V3-A9ZY-01,features_virchow,L:\20x_256px_0px_overlap\features_virchow\TCGA-V3-A9ZY-01.h5,features,13706,2560,True
1,train,TCGA-V3-A9ZY-01,features_hoptimus0,L:\20x_256px_0px_overlap\features_hoptimus0\TCGA-V3-A9ZY-01.h5,features,13706,1536,True
1,train,TCGA-V4-A9E5-01,features_hoptimus1,L:\20x_256px_0px_overlap\features_hoptimus1\TCGA-V4-A9E5-01.h5,features,6277,1536,True
1,train,TCGA-V4-A9E5-01,features_virchow,L:\20x_256px_0px_overlap\features_virchow\TCGA-V4-A9E5-01.h5,features,6277,2560,True
1,train,TCGA-V4-A9E5-01,features_hoptimus0,L:\20x_256px_0px_overlap\features_hoptimus0\TCGA-V4-A9E5-01.h5,features,6277,1536,True
1,train,TCGA-V4-A9E8-01,features_hoptimus1,L:\20x_256px_0px_overlap\features_hoptimus1\TCGA-V4-A9E8-01.h5,features,7424,1536,True
1,train,TCGA-V4-A9E8-01,features_virchow,L:\20x_256px_0px_overlap\features_virchow\TCGA-V4-A9E8-01.h5,features,7424,2560,True
1,train,TCGA-V4-A9E8-01,features_hoptimus0,L:\20x_256px_0px_overlap\features_hoptimus0\TCGA-V4-A9E8-01.h5,features,7424,1536,True
1,train,TCGA-V4-A9E9-01,features_hoptimus1,L:\20x_256px_0px_overlap\features_hoptimus1\TCGA-V4-A9E9-01.h5,features,12337,1536,True
1,train,TCGA-V4-A9E9-01,features_virchow,L:\20x_256px_0px_overlap\features_virchow\TCGA-V4-A9E9-01.h5,features,12337,2560,True
1,train,TCGA-V4-A9E9-01,features_hoptimus0,L:\20x_256px_0px_overlap\features_hoptimus0\TCGA-V4-A9E9-01.h5,features,12337,1536,True
1,train,TCGA-V4-A9EA-01,features_hoptimus1,L:\20x_256px_0px_overlap\features_hoptimus1\TCGA-V4-A9EA-01.h5,features,8376,1536,True
1,train,TCGA-V4-A9EA-01,features_virchow,L:\20x_256px_0px_overlap\features_virchow\TCGA-V4-A9EA-01.h5,features,8376,2560,True
1,train,TCGA-V4-A9EA-01,features_hoptimus0,L:\20x_256px_0px_overlap\features_hoptimus0\TCGA-V4-A9EA-01.h5,features,8376,1536,True
1,train,TCGA-V4-A9EC-01,features_hoptimus1,L:\20x_256px_0px_overlap\features_hoptimus1\TCGA-V4-A9EC-01.h5,features,6718,1536,True
1,train,TCGA-V4-A9EC-01,features_virchow,L:\20x_256px_0px_overlap\features_virchow\TCGA-V4-A9EC-01.h5,features,6718,2560,True
1,train,TCGA-V4-A9EC-01,features_hoptimus0,L:\20x_256px_0px_overlap\features_hoptimus0\TCGA-V4-A9EC-01.h5,features,6718,1536,True
1,train,TCGA-V4-A9ED-01,features_hoptimus1,L:\20x_256px_0px_overlap\features_hoptimus1\TCGA-V4-A9ED-01.h5,features,5434,1536,True
1,train,TCGA-V4-A9ED-01,features_virchow,L:\20x_256px_0px_overlap\features_virchow\TCGA-V4-A9ED-01.h5,features,5434,2560,True
1,train,TCGA-V4-A9ED-01,features_hoptimus0,L:\20x_256px_0px_overlap\features_hoptimus0\TCGA-V4-A9ED-01.h5,features,5434,1536,True
1,train,TCGA-V4-A9EF-01,features_hoptimus1,L:\20x_256px_0px_overlap\features_hoptimus1\TCGA-V4-A9EF-01.h5,features,16532,1536,True
1,train,TCGA-V4-A9EF-01,features_virchow,L:\20x_256px_0px_overlap\features_virchow\TCGA-V4-A9EF-01.h5,features,16532,2560,True
1,train,TCGA-V4-A9EF-01,features_hoptimus0,L:\20x_256px_0px_overlap\features_hoptimus0\TCGA-V4-A9EF-01.h5,features,16532,1536,True
1,train,TCGA-V4-A9EI-01,features_hoptimus1,L:\20x_256px_0px_overlap\features_hoptimus1\TCGA-V4-A9EI-01.h5,features,4374,1536,True
1,train,TCGA-V4-A9EI-01,features_virchow,L:\20x_256px_0px_overlap\features_virchow\TCGA-V4-A9EI-01.h5,features,4374,2560,True
1,train,TCGA-V4-A9EI-01,features_hoptimus0,L:\20x_256px_0px_overlap\features_hoptimus0\TCGA-V4-A9EI-01.h5,features,4374,1536,True
1,train,TCGA-V4-A9EJ-01,features_hoptimus1,L:\20x_256px_0px_overlap\features_hoptimus1\TCGA-V4-A9EJ-01.h5,features,8624,1536,True
1,train,TCGA-V4-A9EJ-01,features_virchow,L:\20x_256px_0px_overlap\features_virchow\TCGA-V4-A9EJ-01.h5,features,8624,2560,True
1,train,TCGA-V4-A9EJ-01,features_hoptimus0,L:\20x_256px_0px_overlap\features_hoptimus0\TCGA-V4-A9EJ-01.h5,features,8624,1536,True
1,train,TCGA-V4-A9EK-01,features_hoptimus1,L:\20x_256px_0px_overlap\features_hoptimus1\TCGA-V4-A9EK-01.h5,features,9729,1536,True
1,train,TCGA-V4-A9EK-01,features_virchow,L:\20x_256px_0px_overlap\features_virchow\TCGA-V4-A9EK-01.h5,features,9729,2560,True
1,train,TCGA-V4-A9EK-01,features_hoptimus0,L:\20x_256px_0px_overlap\features_hoptimus0\TCGA-V4-A9EK-01.h5,features,9729,1536,True
1,train,TCGA-V4-A9EL-01,features_hoptimus1,L:\20x_256px_0px_overlap\features_hoptimus1\TCGA-V4-A9EL-01.h5,features,11530,1536,True
1,train,TCGA-V4-A9EL-01,features_virchow,L:\20x_256px_0px_overlap\features_virchow\TCGA-V4-A9EL-01.h5,features,11530,2560,True
1,train,TCGA-V4-A9EL-01,features_hoptimus0,L:\20x_256px_0px_overlap\features_hoptimus0\TCGA-V4-A9EL-01.h5,features,11530,1536,True
